Date	Name	Msg
Wed Mar 22 2017 9:27:13 PM	Devon	Group text for project communication
Wed Mar 22 2017 9:28:08 PM	Victor	Thx. I'm Victor.
Thu Mar 23 2017 4:12:29 PM	Devon	Looks like Klarman atrium is set up for an event of some kind. We may need to meet somewhere else
Thu Mar 23 2017 4:13:54 PM	Samantha	Psb?
Thu Mar 23 2017 4:14:44 PM	Devon	That works
Thu Mar 23 2017 4:20:30 PM	Victor	Where is psb?
Thu Mar 23 2017 4:21:14 PM	Samantha	Physical sciences building! It's the futuristic looking building next to baker, across the street from klarman
Thu Mar 23 2017 4:21:36 PM	Victor	Gates?
Thu Mar 23 2017 4:21:53 PM	Victor	Oh
Thu Mar 23 2017 4:22:40 PM	Victor	K. I'm coming now. I'm coming from the commons so I might be a bit late.
Thu Mar 23 2017 4:23:47 PM	Devon	Whenever you guys are ready I'm here now, on the first floor sitting at a table, wearing a red jacket
Thu Mar 23 2017 4:43:37 PM	Samantha	I'm here
Thu Mar 23 2017 4:44:02 PM	Samantha	Have no idea what you look like lol
Thu Mar 23 2017 4:44:13 PM	Devon	Red jacket, by wall 
Thu Mar 23 2017 4:44:19 PM	Devon	You may have walked past me
Thu Mar 23 2017 4:44:35 PM	Samantha	In atrium?
Thu Mar 23 2017 4:44:49 PM	Devon	Just up the stairs
Sun Mar 26 2017 8:18:12 PM	Devon	Hi guys, I added some dataset ideas in the p2s1 doc in our Drive folder. It would be great if you could add some too. When we get up to 6 ideas I can go ahead and submit everything on CMS.
Sun Mar 26 2017 8:36:37 PM	Samantha	Alright! I will add some in a little bit (hopefully by 10)
Sun Mar 26 2017 8:37:32 PM	Devon	Awesome thanks!
Sun Mar 26 2017 9:16:04 PM	Samantha	Added a couple!
Mon Mar 27 2017 9:10:32 AM	Devon	Victor: I transferred one of your ideas to the p2s1 doc. Submitted that along with the contract on CMS. Can resubmit later if anyone wants to make any changes.
Mon Mar 27 2017 9:12:28 AM	Victor	 Sounds good!
Mon Mar 27 2017 12:00:25 PM	Devon	Hey team I'm in the upper right if you want to meet rn
Mon Mar 27 2017 12:01:40 PM	Victor	I kind of skipped class today to work on an essay lol
Mon Mar 27 2017 12:01:55 PM	Victor	I thought we were meeting Thursday? I can meet after class on Wednesday.
Mon Mar 27 2017 12:02:05 PM	Devon	He gave us 5min at the end to meet
Mon Mar 27 2017 12:04:04 PM	Devon	We are still meeting Thursday 4:45
Mon Mar 27 2017 12:05:18 PM	Victor	Oh okay! Sorry :(
Mon Mar 27 2017 12:06:53 PM	Victor	You can give me call if y'all are discussing anything
Mon Mar 27 2017 12:07:40 PM	Devon	No problem. Sam and I thought we should decide which project idea we want to go with today. We can discuss in comments on the p2s1 Google doc
Mon Mar 27 2017 12:11:52 PM	Victor	I think our project needs to integrate two data sets btw
Mon Mar 27 2017 12:18:58 PM	Victor	I was interested in the work of a Richard Florida theory of diversity (specifically using LGBT presence) as an indicator/predictor of high-tech industry—but I couldn't really find substantial datasets of LGBT demographics. But I think it'd be interesting if we worked on an interactive map that shows regional growth in correlation with measures of diversity over time.
Mon Mar 27 2017 12:20:25 PM	Devon	That sounds really cool
Mon Mar 27 2017 4:44:23 PM	Devon	I wrote some initial thoughts on each of the 6 ideas. Feel free to follow up or add more ideas
Mon Mar 27 2017 7:47:37 PM	Samantha	I will add some thoughts soon
Mon Mar 27 2017 7:50:26 PM	Devon	Sounds good. I really like the king county house dataset you found btw 
Tue Mar 28 2017 10:23:35 AM	Devon	Sam, any comments to add on the ideas? It would be good if we could decide on one soon
Tue Mar 28 2017 10:30:55 AM	Samantha	Hi! Yes sorry, 3410 prelim today so have been off the radar. Will look at them now
Tue Mar 28 2017 10:31:23 AM	Devon	Ok no worries
Tue Mar 28 2017 10:31:31 AM	Victor	No worries! I like the music one.
